dong_code	x_coor	y_coor	y	ols_residual	mgwr_yhat	mgwr_residual	localR2	beta_Intercept	beta_IV_Transit_Service	beta_IV_Road_rate	beta_IV_Intersection_num	beta_IV_Commercial_rate	beta_IV_Community_10000	beta_IV_Hospital_10000	beta_IV_GreenInfra	beta_IV_CultureSportsInfra_10000	beta_IV_Kids_Care_10000	beta_IV_School_10000	beta_IV_H_Density	beta_IV_Avg_FAR	beta_IV_LUM	beta_IV_House_a	beta_IV_HousingDeter	beta_IV_Safe	beta_IV_CCTV_10000	se_Intercept	se_IV_Transit_Service	se_IV_Road_rate	se_IV_Intersection_num	se_IV_Commercial_rate	se_IV_Community_10000	se_IV_Hospital_10000	se_IV_GreenInfra	se_IV_CultureSportsInfra_10000	se_IV_Kids_Care_10000	se_IV_School_10000	se_IV_H_Density	se_IV_Avg_FAR	se_IV_LUM	se_IV_House_a	se_IV_HousingDeter	se_IV_Safe	se_IV_CCTV_10000	t_Intercept	t_IV_Transit_Service	t_IV_Road_rate	t_IV_Intersection_num	t_IV_Commercial_rate	t_IV_Community_10000	t_IV_Hospital_10000	t_IV_GreenInfra	t_IV_CultureSportsInfra_10000	t_IV_Kids_Care_10000	t_IV_School_10000	t_IV_H_Density	t_IV_Avg_FAR	t_IV_LUM	t_IV_House_a	t_IV_HousingDeter	t_IV_Safe	t_IV_CCTV_10000	p_Intercept	p_IV_Transit_Service	p_IV_Road_rate	p_IV_Intersection_num	p_IV_Commercial_rate	p_IV_Community_10000	p_IV_Hospital_10000	p_IV_GreenInfra	p_IV_CultureSportsInfra_10000	p_IV_Kids_Care_10000	p_IV_School_10000	p_IV_H_Density	p_IV_Avg_FAR	p_IV_LUM	p_IV_House_a	p_IV_HousingDeter	p_IV_Safe	p_IV_CCTV_10000	sumW_Intercept	sumW_IV_Transit_Service	sumW_IV_Road_rate	sumW_IV_Intersection_num	sumW_IV_Commercial_rate	sumW_IV_Community_10000	sumW_IV_Hospital_10000	sumW_IV_GreenInfra	sumW_IV_CultureSportsInfra_10000	sumW_IV_Kids_Care_10000	sumW_IV_School_10000	sumW_IV_H_Density	sumW_IV_Avg_FAR	sumW_IV_LUM	sumW_IV_House_a	sumW_IV_HousingDeter	sumW_IV_Safe	sumW_IV_CCTV_10000	local_CN	local_vdp_Intercept	local_vdp_IV_Transit_Service	local_vdp_IV_Road_rate	local_vdp_IV_Intersection_num	local_vdp_IV_Commercial_rate	local_vdp_IV_Community_10000	local_vdp_IV_Hospital_10000	local_vdp_IV_GreenInfra	local_vdp_IV_CultureSportsInfra_10000	local_vdp_IV_Kids_Care_10000	local_vdp_IV_School_10000	local_vdp_IV_H_Density	local_vdp_IV_Avg_FAR	local_vdp_IV_LUM	local_vdp_IV_House_a	local_vdp_IV_HousingDeter	local_vdp_IV_Safe	local_vdp_IV_CCTV_10000	sig_IV_Transisig_Service	sig_IV_Road_rate	sig_IV_Intersection_num	sig_IV_Commercial_rate	sig_IV_Community_10000	sig_IV_Hospital_10000	sig_IV_GreenInfra	sig_IV_CultureSportsInfra_10000	sig_IV_Kids_Care_10000	sig_IV_School_10000	sig_IV_H_Density	sig_IV_Avg_FAR	sig_IV_LUM	sig_IV_House_a	sig_IV_HousingDeter	sig_IV_Safe	sig_IV_CCTV_10000
11110530	197383.092	552705.238	-0.373145507	-1.036359199	0.619271724	-0.992417231	0.443866453	-0.022339186	0.041732922	-0.141438806	0.077016483	0.084985963	0.090361166	0.098590812	-0.030249817	0.048744053	0.3772852	-0.157802585	-0.071230239	-0.049764772	-0.184170457	0.069426141	0.10877986	-0.065245605	0.258809645	0.151495251	0.060831398	0.076491909	0.069720056	0.05602283	0.050864774	0.07995135	0.046311844	0.064374059	0.09388782	0.068672083	0.053973781	0.053577465	0.054289328	0.065030519	0.087636167	0.066813752	0.079329922	-0.147457998	0.686042456	-1.84906885	1.104653205	1.516988039	1.776497932	1.233135049	-0.653176686	0.757200237	4.018468008	-2.297914629	-1.31971926	-0.928837755	-3.392387872	1.067593221	1.241266743	-0.976529573	3.262446752	0.882840789	0.49306218	0.06514539	0.269937833	0.13001666	0.076369549	0.218210214	0.513997237	0.449351476	6.93E-05	0.022053843	0.187642559	0.353502895	0.000758086	0.286312946	0.215195121	0.329360232	0.001194092	14.9414952	225.1725663	225.1725663	225.1725663	225.1725663	221.9835817	59.08947144	225.1725663	105.3424417	45.4452616	58.92989949	225.1725663	225.1725663	210.6594853	225.1725663	81.80687813	85.68222878	141.9649641	6.078653425	0.068647692	0.052294194	0.529145374	0.200404909	0.010747797	0.007268327	0.003251709	0.141664067	0.016999126	0.070870549	0.065670929	0.101240183	0.024694877	0.006842989	0.006141243	0.004743185	0.058929238	0.644643167	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1
11110540	198340.06	554311.578	1.220270296	-0.112146584	1.006023825	0.214246471	0.431883927	-0.281773661	0.03911642	-0.137536782	0.07556435	0.088243778	0.095644873	0.067332087	-0.023396025	0.053173236	0.37003476	-0.112144778	-0.069477508	-0.050929523	-0.18409841	0.073440452	0.111887576	-0.058932156	0.26638167	0.150467012	0.062005182	0.076785825	0.070026325	0.056562061	0.051253824	0.082133068	0.046751736	0.063861446	0.09347426	0.070219356	0.054163288	0.053971366	0.054887761	0.065697612	0.086913391	0.068696626	0.078750421	-1.872660711	0.630857271	-1.79117412	1.079084896	1.560123103	1.8661022	0.819792671	-0.500431149	0.832634393	3.958680801	-1.59706361	-1.282741703	-0.943639682	-3.354088507	1.117855734	1.287345648	-0.857860999	3.382606282	0.061804827	0.528474551	0.073980166	0.281164802	0.119478612	0.062718901	0.412795988	0.617031783	0.405520802	8.84E-05	0.110998265	0.200285014	0.345892456	0.000868027	0.264263083	0.198677767	0.391455019	0.000784859	12.58478896	215.0256266	215.0256266	215.0256266	215.0256266	212.1897679	52.57767721	215.0256266	113.4998061	39.49601928	52.21874681	215.0256266	215.0256266	204.3916198	215.0256266	84.06483558	88.79478803	150.65763	6.144173313	0.691375774	0.002012331	0.197532029	0.031917953	0.02056094	0.011175757	0.065755196	0.073204779	0.061913873	0.038401376	0.004409312	0.051945642	0.007289141	0.009168153	0.073981725	0.588132888	0.157537274	0.021862262	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1
11110550	196780.589	555266.208	-0.329002869	-0.696129926	-0.83547919	0.506476321	0.42766783	-0.013146292	0.044332214	-0.140537963	0.072404381	0.091027755	0.09366685	0.048734877	-0.023846307	0.046530763	0.385329521	-0.115601285	-0.070580023	-0.058333371	-0.185383313	0.068611656	0.105547821	-0.063093265	0.258951624	0.14931283	0.061082197	0.076375982	0.06934055	0.056361687	0.050677174	0.080538915	0.046277862	0.063630833	0.092182375	0.067670615	0.053323269	0.053959015	0.054299847	0.064945984	0.082218997	0.067901788	0.078273772	-0.088045295	0.725779629	-1.840080613	1.044185283	1.615064424	1.848304525	0.605109675	-0.515285407	0.731261266	4.18007805	-1.708293688	-1.323625214	-1.081068121	-3.414066973	1.056441862	1.283740076	-0.929184158	3.308280892	0.929882343	0.468375233	0.066456814	0.296996031	0.107042351	0.065256068	0.545430607	0.606622772	0.465024467	3.54E-05	0.088315484	0.186342448	0.28028276	0.000701752	0.291369363	0.199935673	0.353323586	0.001018963	12.77321515	223.0817614	223.0817614	223.0817614	223.0817614	218.8365854	54.18495673	223.0817614	104.4318543	39.06199007	54.14045737	223.0817614	223.0817614	211.2437631	223.0817614	80.84441437	84.0093081	144.0137207	5.51375632	0.030612054	0.069343159	0.753469324	0.438455334	0.020365798	0.010013184	0.029603744	0.066956888	0.000285754	0.000164923	0.07871051	0.001025686	0.000894827	0.00261038	2.40E-07	0.031531433	0.007597592	0.343381491	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1
11110560	197185.838	557344.372	0.057496079	-1.205126289	0.11450927	-0.057013191	0.415013341	-0.089204398	0.043343879	-0.139080012	0.06824838	0.094775297	0.098808378	-0.000229152	-0.019587042	0.048862348	0.330035853	-0.07402454	-0.070317781	-0.062284076	-0.186026056	0.069541397	0.098230329	-0.043641969	0.265967349	0.14649247	0.061845856	0.0765424	0.069508478	0.056724442	0.050925728	0.081900409	0.046681248	0.062826965	0.093481614	0.068308746	0.05335393	0.054501612	0.054881805	0.065345684	0.07922967	0.068215201	0.077601801	-0.608935041	0.70083723	-1.817032281	0.981871306	1.670801762	1.940244799	-0.002797938	-0.419591232	0.777728929	3.530489463	-1.083675864	-1.317949432	-1.142793285	-3.389576098	1.064207956	1.239817471	-0.639768975	3.427334721	0.542894378	0.483789931	0.069919655	0.326724498	0.095500496	0.053014153	0.99776889	0.674997113	0.437163595	0.000460356	0.279125835	0.188233859	0.253770823	0.000765693	0.287841616	0.215730268	0.522669148	0.000669227	9.53675719	212.0045958	212.0045958	212.0045958	212.0045958	206.8332317	45.37372994	212.0045958	110.6210803	33.89059404	44.43808199	212.0045958	212.0045958	197.654394	212.0045958	77.33246023	83.02402619	145.3720724	5.419676607	0.050267881	0.070069304	0.804965858	0.496448973	0.043439079	0.005772558	0.02372046	0.069957839	1.10E-05	0.016584044	0.089852773	0.001941448	0.00122855	0.000794579	0.001536311	0.070453947	0.001040165	0.235695708	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1
11110570	196341.715	553063.272	0.254863093	-0.340098195	0.5333572	-0.278494107	0.450938646	0.038805295	0.045555691	-0.143204797	0.07504121	0.086842987	0.089054046	0.087821357	-0.030292579	0.044765388	0.396675074	-0.163656457	-0.071664965	-0.05444303	-0.185117303	0.065825866	0.099490938	-0.068819965	0.252131802	0.158351077	0.060304712	0.076236345	0.069280502	0.055929346	0.050464204	0.079826104	0.046082363	0.063906944	0.093088423	0.06789196	0.053425554	0.053591635	0.05388914	0.064538938	0.084951407	0.066573167	0.078870732	0.245058611	0.755425064	-1.878432101	1.083150498	1.552726677	1.764697329	1.100158378	-0.657357336	0.700477681	4.261271803	-2.410542526	-1.34139863	-1.015886712	-3.435150436	1.019940329	1.171151157	-1.033749297	3.196772675	0.80652989	0.450414405	0.061009634	0.279358651	0.121236281	0.078336256	0.271888815	0.511308698	0.484014138	2.51E-05	0.016354473	0.18051079	0.310264039	0.000650731	0.308339737	0.242197318	0.301844024	0.001494035	14.4028741	232.123234	232.123234	232.123234	232.123234	228.9440973	58.17271114	232.123234	103.3073842	44.83822375	57.79670508	232.123234	232.123234	218.6540593	232.123234	79.44974072	84.00871525	140.4369902	5.67186738	0.030554047	0.116193883	0.468379807	0.171705707	0.001607129	0.018895446	0.012163497	0.068670312	0.00034964	0.15524107	0.046489432	0.026290981	0.007654796	0.000219665	0.013275462	0.226566232	0.000567611	0.592080287	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1
11110580	196830.146	552392.07	-0.587382817	-0.90562189	0.102696318	-0.690079135	0.450988643	0.049580154	0.043856014	-0.143041114	0.076048288	0.084774938	0.088728691	0.101308454	-0.03203658	0.046273125	0.383075763	-0.171454718	-0.071977633	-0.051123065	-0.184485742	0.066672726	0.104226244	-0.067002612	0.255311511	0.158251171	0.060363433	0.076311697	0.069477225	0.055796593	0.050688873	0.079615887	0.046147249	0.064139747	0.093518508	0.068491941	0.053703392	0.053446656	0.054004091	0.064673527	0.086901883	0.066296455	0.07917858	0.313300392	0.7265328	-1.874432366	1.094578672	1.519356876	1.750456969	1.272465307	-0.694225123	0.721442271	4.096256156	-2.503283099	-1.340280928	-0.956525054	-3.416143806	1.030912162	1.199355417	-1.010651502	3.224502252	0.754206875	0.467914048	0.061559814	0.274324137	0.129419754	0.080764458	0.203906844	0.487922128	0.471036014	5.03E-05	0.012680665	0.180873464	0.339353376	0.000696565	0.30317109	0.231061157	0.312761008	0.001359769	14.64331983	231.2587088	231.2587088	231.2587088	231.2587088	225.5613144	59.10733141	231.2587088	104.5653624	46.37637595	57.86626036	231.2587088	231.2587088	215.5211766	231.2587088	80.24928051	84.54580072	141.0155847	5.924059754	0.022931186	0.079424821	0.424081878	0.124275739	0.001865923	0.0248854	0.016237355	0.083029307	0.005786286	0.212781877	0.040819551	0.060017011	0.017232304	0.001793862	0.024537743	0.216686719	0.008362143	0.632369476	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1
11110600	198811.733	553662.288	0.339714479	-0.172191232	0.328807435	0.010907044	0.437897834	-0.356506927	0.037284994	-0.1367042	0.077132842	0.086204953	0.095784173	0.077949972	-0.024466318	0.055757976	0.355793996	-0.119869872	-0.069087406	-0.047066823	-0.182883736	0.074504105	0.115859259	-0.05973171	0.267453804	0.154736418	0.062191523	0.076907364	0.070290481	0.056474821	0.051405911	0.081740636	0.046849591	0.064005345	0.093414797	0.070252292	0.054472154	0.053792253	0.054971552	0.065866267	0.089411663	0.069292692	0.078887308	-2.303962642	0.599518904	-1.777517689	1.097344064	1.526431645	1.863291046	0.953625704	-0.522231198	0.87114562	3.808754158	-1.706277026	-1.26830685	-0.874973992	-3.326879625	1.131142059	1.295795819	-0.862020333	3.390327414	0.021708631	0.549147885	0.076201508	0.273115289	0.127649744	0.063114118	0.340817759	0.601782738	0.384168784	0.00016035	0.0886905	0.205385973	0.382084588	0.000954957	0.258636194	0.195752455	0.389164742	0.000763654	12.94541171	213.283471	213.283471	213.283471	213.283471	210.8427112	55.07626904	213.283471	115.4450209	43.92166579	55.05459265	213.283471	213.283471	203.5372203	213.283471	83.92936344	87.87611288	152.4077446	6.434725246	0.745820469	0.000250403	0.017989395	0.002676049	0.023457322	0.000256726	0.01037551	0.003153946	0.009034058	0.014461751	0.040820555	0.003606701	9.68E-06	0.010860535	0.092523883	0.83517967	0.092160052	0.011308384	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1
11110615	199104.68	552848.798	2.364940702	1.421946258	0.769248938	1.595691764	0.443964414	-0.28585183	0.035931352	-0.136609818	0.078508182	0.083470003	0.09521346	0.093250653	-0.026890128	0.057627346	0.342144372	-0.133393597	-0.069183909	-0.043156154	-0.181373229	0.074578845	0.120785582	-0.062354608	0.267533578	0.151953015	0.062128791	0.076950645	0.070478516	0.056206372	0.051511477	0.08015707	0.046826504	0.064271644	0.093722175	0.069704866	0.054699954	0.053484736	0.054950038	0.06588512	0.091309078	0.068753982	0.079047993	-1.881185638	0.578336565	-1.775291395	1.113930702	1.485063007	1.848393134	1.16334908	-0.574250168	0.896621623	3.650623452	-1.913691329	-1.264789163	-0.806887289	-3.300693451	1.131952786	1.322821179	-0.906923594	3.384444913	0.060633254	0.563344684	0.076568759	0.265941462	0.138271964	0.065243229	0.245343718	0.566103762	0.370430844	0.000294358	0.056334222	0.206643283	0.420184865	0.001046201	0.258295561	0.186609526	0.364963543	0.00077976	14.55074339	213.4088713	213.4088713	213.4088713	213.4088713	209.7438377	59.8657317	213.4088713	114.4604569	47.67967654	59.04058755	213.4088713	213.4088713	202.8817751	213.4088713	82.34282253	88.7402994	152.2906914	7.596699868	0.84084659	0.008534344	0.004056153	0.002524854	0.057373087	0.017020177	0.002969782	0.001801866	0.001760892	0.011383459	0.032916651	0.00862232	0.027910736	0.047299655	0.08338462	0.837504707	0.033965928	3.07E-06	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1
11110630	200388.602	552590.454	0.445661783	-0.081528334	0.620171955	-0.174510172	0.452783099	-0.314899598	0.038001484	-0.133288469	0.074737225	0.078267228	0.101026758	0.081253939	-0.028601996	0.063776345	0.304908815	-0.120248428	-0.071081867	-0.038765341	-0.17723563	0.070894219	0.131977526	-0.063646408	0.272142452	0.164653233	0.061601147	0.076459984	0.069986325	0.05448987	0.050816818	0.079150973	0.046022724	0.06410557	0.093929803	0.06973362	0.054013465	0.052038585	0.055051994	0.065355721	0.0918471	0.070467982	0.078553874	-1.912501764	0.616895716	-1.743244802	1.067883259	1.436362926	1.988057541	1.02656905	-0.621475506	0.994864343	3.246134922	-1.724396759	-1.316002704	-0.744934573	-3.219422534	1.084743904	1.436926444	-0.903196125	3.464405222	0.056486935	0.5376354	0.082017445	0.286182231	0.151638245	0.04744948	0.305210105	0.534621579	0.320371001	0.001262877	0.085366787	0.188885854	0.456724951	0.001383497	0.278652942	0.151478125	0.36693586	0.000585652	17.64580828	234.8977706	234.8977706	234.8977706	234.8977706	222.7075759	60.20240324	234.8977706	119.3156544	49.23052499	59.57897041	234.8977706	234.8977706	205.2553984	234.8977706	85.86394718	90.37416397	158.814035	6.270904983	0.44456603	0.001563576	0.14687955	0.174848224	0.096988681	0.009541733	0.000540066	0.057535891	0.042192028	0.146934883	0.035183813	0.069137607	0.015776027	0.005404489	0.012752285	0.47600366	0.097418225	0.443598627	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1
11110640	200266.981	553352.12	-0.937269123	-1.656304501	0.060946738	-0.998215861	0.445702744	-0.432382819	0.037405662	-0.133206438	0.074129971	0.081446175	0.101463052	0.062591837	-0.02589428	0.062666749	0.318588885	-0.106750113	-0.070223559	-0.041488612	-0.178976063	0.072144758	0.124441392	-0.058704677	0.2728946	0.166696269	0.061996416	0.076598514	0.070061099	0.055038753	0.050905049	0.080790866	0.046315811	0.063749012	0.093034569	0.069985782	0.054078476	0.052425188	0.055175801	0.06555933	0.093142269	0.071725798	0.078443423	-2.593836208	0.603352013	-1.739021175	1.058076059	1.479796872	1.993182501	0.774739024	-0.559080785	0.983023056	3.424414044	-1.525311424	-1.29854916	-0.791387003	-3.243742004	1.100449906	1.336035651	-0.818459716	3.478871645	0.009820522	0.546597916	0.082758542	0.290624616	0.13967182	0.046883378	0.438926727	0.576402454	0.326158006	0.000676264	0.127928742	0.19480617	0.429161714	0.001273272	0.271761983	0.182255931	0.413555564	0.000555767	16.18633113	229.2412387	229.2412387	229.2412387	229.2412387	221.3509682	57.96453662	229.2412387	123.3879361	48.79563468	57.94132943	229.2412387	229.2412387	204.8415066	229.2412387	81.74386278	89.13087194	160.5222465	6.03089068	0.313196952	0.001399446	0.217265088	0.218219216	0.032627924	0.002969402	0.002370427	0.074888865	0.008167763	0.105384341	0.052066063	0.071516876	0.013384006	0.002901816	9.95E-05	0.374011452	0.021247642	0.583008973	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1
